E913	R1	E1877
E95	R1	E1678
E961	R1	E1892
E755	R1	E2284
E664	R1	E1673
E565	R1	E2106
E977	R1	E2378
E798	R1	E2206
E718	R1	E226
E1028	R1	E1866
E614	R1	E2269
E361	R1	E1959
E54	R1	E2502
E354	R1	E2240
E509	R1	E1397
E122	R1	E2621
E598	R1	E2058
E912	R1	E2060
E95	R1	E2448
E582	R1	E1548
E740	R1	E2155
E583	R1	E2181
E375	R1	E211
E211	R0	E2533
E666	R1	E2503
E582	R1	E1863
E1377	R1	E1921
E109	R1	E1976
E509	R1	E2326
E1304	R1	E1572
E340	R1	E1527
E893	R1	E1463
E939	R1	E1666
E340	R1	E2249
E2266	R0	E2533
E695	R1	E2122
E561	R1	E2393
E1378	R1	E2326
E444	R1	E2261
E1355	R1	E1912
E360	R1	E1567
E2601	R0	E1044
E354	R1	E2303
E605	R1	E2127
E765	R1	E1508
E584	R1	E1414
E987	R1	E267
E698	R1	E1324
E2562	R1	E1680
E393	R1	E1430
E593	R1	E1743
E1378	R1	E1792
E408	R1	E1673
E61	R1	E1549
E154	R1	E2169
E617	R1	E1588
E122	R1	E2035
E694	R1	E1743
E582	R1	E1680
E524	R1	E1630
E384	R1	E1988
E122	R1	E1877
E524	R1	E2419
E798	R1	E2469
E1781	R1	E1557
E108	R1	E2270
E121	R1	E2219
E714	R1	E1758
E695	R1	E1675
E443	R1	E2594
E843	R1	E2363
E348	R1	E2586
E754	R1	E1449
E48	R1	E1893
E584	R1	E1240
E97	R1	E2185
E1004	R1	E1289
E648	R1	E2374
E582	R1	E1903
E1355	R1	E2464
E1277	R1	E2456
E913	R1	E2204
E1739	R0	E2533
E584	R1	E1938
E961	R1	E2179
E874	R1	E2148
E1637	R1	E2452
E755	R1	E2225
E1368	R1	E1639
E106	R1	E2503
E48	R1	E1302
E849	R1	E1690
E1942	R1	E2210
E2571	R1	E2266
E563	R1	E1311
E509	R1	E1705
E775	R1	E2096
E1781	R1	E2067
E837	R1	E1707
E1364	R1	E2042
E95	R1	E1844
E751	R1	E1279
E598	R1	E2319
E692	R1	E2461
E664	R1	E1607
E584	R1	E2397
E509	R1	E2116
E157	R0	E2507
E694	R1	E1745
E515	R1	E1405
E348	R1	E1463
E434	R2	E2507
E396	R1	E1654
E95	R1	E1373
E999	R1	E2531
E617	R1	E1533
E657	R1	E1333
E1308	R1	E2104
E1359	R1	E2186
E939	R1	E2316
E722	R1	E2307
E575	R1	E1548
E1277	R1	E1538
E579	R1	E2414
E618	R1	E2121
E740	R1	E1818
E2555	R1	E2080
E1446	R1	E209
E322	R1	E207
E444	R1	E2161
E745	R1	E2116
E838	R1	E1832
E740	R1	E1397
E83	R1	E2063
E582	R1	E1821
E468	R1	E1423
E518	R1	E2124
E1372	R1	E1557
E622	R1	E2302
E622	R1	E1492
